timestamp,word_uk,word_en,direction,correct_answer,chosen_answer,is_correct,response_ms
6/19/2026 16:23,диявол,Devil,en_to_uk,диявол,диявол,TRUE,15816.33782
6/19/2026 16:23,ви,you,en_to_uk,ви,ви,TRUE,3643.850088
6/19/2026 16:23,ван,van,en_to_uk,ван,ван,TRUE,14693.27283
6/19/2026 16:23,все,all,en_to_uk,все,все,TRUE,3205.393076
6/19/2026 16:23,я,I,uk_to_en,I,I,TRUE,4226.154804
6/19/2026 16:24,іноді,sometimes,en_to_uk,іноді,іноді,TRUE,27968.31393
6/19/2026 16:24,що,What,uk_to_en,What,what,FALSE,30888.92508
6/19/2026 16:24,ми,we,en_to_uk,ми,ми,TRUE,3101.252079
6/19/2026 16:24,теж,also,uk_to_en,also,also,TRUE,2930.696011
6/19/2026 16:25,аромат,aroma,uk_to_en,aroma,aroma,TRUE,4421.442032
6/19/2026 16:25,не,not,uk_to_en,not,not,TRUE,14632.57194
6/19/2026 16:25,для,for,en_to_uk,для,для,TRUE,3856.492043
6/19/2026 16:25,ви,you,en_to_uk,ви,ви,TRUE,29750.51713
6/19/2026 16:25,надо,necessary,uk_to_en,necessary,necessary,TRUE,6066.763163
6/19/2026 16:26,все,all,uk_to_en,all,all,TRUE,56913.33294
6/19/2026 16:27,ти,you,en_to_uk,ти,ти,TRUE,9135.812998
6/19/2026 16:27,перемогти,to win,en_to_uk,перемогти,перемогти,TRUE,3995.185137
6/19/2026 16:27,я,I,en_to_uk,я,я,TRUE,2233.846903
6/19/2026 16:27,но,but,uk_to_en,but,but,TRUE,6272.612095
6/19/2026 16:27,частина,part,uk_to_en,part,part,TRUE,2475.204945
6/19/2026 16:27,із,from,uk_to_en,from,from,TRUE,39955.82509
6/19/2026 16:28,не,not,en_to_uk,не,не,TRUE,2693.717003
6/19/2026 16:28,дуже,very,en_to_uk,дуже,дуже,TRUE,2554.359913
6/19/2026 16:28,він,he,uk_to_en,he,he,TRUE,3522.488832
6/19/2026 16:28,вийти,go out,en_to_uk,вийти,вийти,TRUE,9847.265959
6/19/2026 16:28,щось,something,en_to_uk,щось,щось,TRUE,19014.431
"2026/06/20 10:42:10","сперма","sperm","uk_to_en","sperm","sperm",TRUE,5536.104917526245
"2026/06/20 10:42:17","будеш","will you be","uk_to_en","will you be","will you be",TRUE,6838.114976882935
"2026/06/20 10:42:20","не","not","uk_to_en","not","not",TRUE,2452.5392055511475
"2026/06/20 10:42:23","тепер","now","en_to_uk","тепер","тепер",TRUE,3499.6111392974854
"2026/06/20 10:42:26","далеко","far","uk_to_en","far","far",TRUE,2889.4050121307373
"2026/06/20 10:42:30","проблема","problem","en_to_uk","проблема","проблема",TRUE,4238.761901855469
"2026/06/20 10:42:33","я","I","en_to_uk","я","я",TRUE,2935.3249073028564
"2026/06/20 10:42:37","у","in","en_to_uk","у","у",TRUE,3613.5458946228027
"2026/06/20 10:43:06","їх","their","uk_to_en","their","their",TRUE,28765.172958374023
"2026/06/20 10:43:10","ні","No","uk_to_en","No","No",TRUE,3642.108917236328
"2026/06/20 10:43:14","від","from","en_to_uk","від","від",TRUE,4028.2981395721436
"2026/06/20 10:43:17","чи","or","en_to_uk","чи","чи",TRUE,3135.8399391174316
"2026/06/20 10:43:20","не","not","uk_to_en","not","not",TRUE,2968.1670665740967
"2026/06/20 10:43:23","все","all","uk_to_en","all","all",TRUE,3191.8938159942627
"2026/06/20 10:43:29","сто","hundred","uk_to_en","hundred","hundred",TRUE,4090.087890625
"2026/06/20 10:43:32","можеш","you can","uk_to_en","you can","you can",TRUE,2965.6190872192383
"2026/06/20 10:43:34","я","I","uk_to_en","I","in",FALSE,2417.823076248169
"2026/06/20 10:43:38","будеш","will you be","en_to_uk","будеш","будеш",TRUE,3179.687023162842
"2026/06/20 10:42:10","сперма","sperm","uk_to_en","sperm","sperm",TRUE,5536.104917526245
"2026/06/20 10:42:17","будеш","will you be","uk_to_en","will you be","will you be",TRUE,6838.114976882935
"2026/06/20 10:42:20","не","not","uk_to_en","not","not",TRUE,2452.5392055511475
"2026/06/20 10:42:23","тепер","now","en_to_uk","тепер","тепер",TRUE,3499.6111392974854
"2026/06/20 10:42:26","далеко","far","uk_to_en","far","far",TRUE,2889.4050121307373
"2026/06/20 10:42:30","проблема","problem","en_to_uk","проблема","проблема",TRUE,4238.761901855469
"2026/06/20 10:42:33","я","I","en_to_uk","я","я",TRUE,2935.3249073028564
"2026/06/20 10:42:37","у","in","en_to_uk","у","у",TRUE,3613.5458946228027
"2026/06/20 10:43:06","їх","their","uk_to_en","their","their",TRUE,28765.172958374023
"2026/06/20 10:43:10","ні","No","uk_to_en","No","No",TRUE,3642.108917236328
"2026/06/20 10:43:14","від","from","en_to_uk","від","від",TRUE,4028.2981395721436
